course_id,title,description,category,difficulty,rating,num_ratings,source,url
altruism,The,What a wonderful course.  It gives each of us a way to help in the best possible manner.  One would think that only serious philanthropists can help when in fact every single person can,Computer Science,Advanced,4.52,42,Coursera,https://www.coursera.org/learn/altruism
america-latina,America Latina,"No me pareció un curso completo.  Con las clases en vídeo debería ser suficiente para lograr los objetivos de aprendizaje del curso y las lecturas ser complementarias a estos vídeos.  Sin embargo, las...",Computer Science,Beginner,4.23,57,Coursera,https://www.coursera.org/learn/america-latina
america-through-foreign-eyes,America Through Foreign Eyes,Excellent course! A very Imperative course! Excellent course.  His content is very interesting and realistic.  I suggest this course if you want to improve your knolowgede about American culture and o...,Computer Science,Beginner,4.55,11,Coursera,https://www.coursera.org/learn/america-through-foreign-eyes
analisis-datos-proyecto-final,Analisis Datos Proyecto Final,"Excelente Una excelente herramienta para controlar y evaluar datos; gracias por este valioso curso.  El curso me pareció bueno, yo agregaría algunos elementos de calidad a los videos tutoriales presen...",Computer Science,Intermediate,4.62,8,Coursera,https://www.coursera.org/learn/analisis-datos-proyecto-final
analisis-de-datos,Analisis De Datos,"muy bueno Aunque es un curso que pretende ser introductorio, existe desorganización y ambigüedad en los contenidos.  No está clara la diferencia entre los objetivos de los temas analizados en las sema...",Computer Science,Beginner,4.44,95,Coursera,https://www.coursera.org/learn/analisis-de-datos
analisis-de-datos-aplicaciones,Analisis De Datos Aplicaciones,"Excelente!!1 Excelente Maestro.  Explica de manera muy simple terminos complejos.  Felicidades! Muy aplicable pero las lecturas son muy largas y, en función de lo poco aplicables de los temas para mí,...",Computer Science,Beginner,4.48,23,Coursera,https://www.coursera.org/learn/analisis-de-datos-aplicaciones
analisis-sistemas-de-transporte,Analisis Sistemas De Transporte,"Los contenidos son muy buenos pero a mi parecer le fatan ejemplos prácticos de los problemas planteados Muy completo.  Pertinente, bien orientado, claro y enriquecedor muy interesante exelente aprendi...",Computer Science,Intermediate,4.68,69,Coursera,https://www.coursera.org/learn/analisis-sistemas-de-transporte
analizando-politicas-economicas,Analizando Politicas Economicas,"Es un curso que te sirve para entender muchas cosas que escuchas todos los días, esta muy bien explicado y entiendes fácilmente.  Curso bastante completo sobre la macro, además que da ejemplos reales ...",Computer Science,Beginner,4.83,24,Coursera,https://www.coursera.org/learn/analizando-politicas-economicas
analyse-numerique,Analyse Numerique,Excellent course with an excellent instructor.  Cours tres interessant sur ce sujet qui en devient passionnant.  Par contre le niveau en mathematique est assez eleve,Computer Science,Intermediate,4.7,10,Coursera,https://www.coursera.org/learn/analyse-numerique
analysing-complexity,Analysing Complexity,"The early part of the course does not make a compelling argument for why we need to analyse complexity.  The lectures are interesting but not helpful for use in business.  Super interesting course, I ...",Computer Science,Advanced,4.0,2,Coursera,https://www.coursera.org/learn/analysing-complexity
analysis-business-problem-iese,Analysis Business Problem Iese,"This course was really great, and I don't say that lightly.  The instructor was knowledgeable and thorough, the problems were clearly defined and discussed, added insight to key areas of focus were pr...",Computer Science,Intermediate,5.0,1,Coursera,https://www.coursera.org/learn/analysis-business-problem-iese
analytics-business-metrics,Analytics Business Metrics,good videos can be more interactive with more information on the slides.  feel that slides downloaded is not worth the time.  I seem to see the professor on screen more then important information we n...,Business,Beginner,4.47,530,Coursera,https://www.coursera.org/learn/analytics-business-metrics
analytics-capstone,Analytics Capstone,"It would have been nice to use more complex data analysis, as used in the second course of this specialization, in order to build the final model.  Great capstone course that successfully integrates a...",Data Science,Advanced,4.5,14,Coursera,https://www.coursera.org/learn/analytics-capstone
analytics-excel,Analytics Excel,"More respect after the course than before, as I thought this would be a pretty easy Excel course, but finishing it called lot of real work and statistical and modelling understanding.  Really amazing ...",Computer Science,Advanced,3.66,422,Coursera,https://www.coursera.org/learn/analytics-excel
analytics-mysql,Analytics Mysql,"Excellent! It is a new innovated era! This course gives an opportunity to leads in a multidimensional ""open and unlimited"" "" data space""! Unreservedly, Ι suggest it! A great course all over! Last week...",Computer Science,Beginner,4.6,239,Coursera,https://www.coursera.org/learn/analytics-mysql
analytics-tableau,Analytics Tableau,"The course content has rigor and the learning is great!! Thanks Not bad, some tests are too difficult, specially to understand the right questions.  Materials are good but some details make the expere...",Data Science,Advanced,4.61,233,Coursera,https://www.coursera.org/learn/analytics-tableau
analyze,The,"The lectures are rather simple and easy to follow, but it's impossible to pass the quizzes with only a basic knowledge of mathematics/physics, only for experts.  With the information provided in the v...",Computer Science,Beginner,3.0,2,Coursera,https://www.coursera.org/learn/analyze
ancient-greeks,Ancient Greeks,"Awesome! The professor is obviously very knowledgeable about the ancient Greece history and it's a pity that I'm done with the course; I wish I could attend the full, comprehensive version of it! On t...",Computer Science,Beginner,4.75,161,Coursera,https://www.coursera.org/learn/ancient-greeks
ancient-marine-reptiles,Ancient Marine Reptiles,"The best course I have ever taken online! Great studying, quality nad quantity of materials. .",Arts & Design,Beginner,4.89,63,Coursera,https://www.coursera.org/learn/ancient-marine-reptiles
android-app,Android App,best coaching provided by coursera and its also a effective way to study with coursera instead of going through books i liked it very much.  Already doneThank you it is a very good course to start in ...,Computer Science,Beginner,4.1,87,Coursera,https://www.coursera.org/learn/android-app
android-programming,Android Programming,This course is very helpful for me.  Thanks Professor so much ! I have moved from zero to building my first App for operations in my office just after week one.  I advice that you go through the labs,Computer Science,Beginner,4.46,87,Coursera,https://www.coursera.org/learn/android-programming
android-programming-2,Android Programming 2,"g so use Excellent course, excellent teacher.  All key concepts are covered well.  quite good I learned a lot but I felt that the final project was significantly more difficult than the work leading u...",Computer Science,Beginner,4.4,15,Coursera,https://www.coursera.org/learn/android-programming-2
androidapps,The,"I didn't learn anything more than what I already knew- which was basic concepts- and was able to pass anyway.  I'm very disappointed.  I want to be a good programmer, and this did not teach me any pro...",Computer Science,Beginner,3.58,31,Coursera,https://www.coursera.org/learn/androidapps
androidapps-2,Androidapps 2,This course was really good for me.  I was able to learn the basic theory and working of how services and content providers work in Android.  This course helped me alot,Computer Science,Beginner,4.57,7,Coursera,https://www.coursera.org/learn/androidapps-2
angular-js,Angular Js,This was very difficult course for me (as for newbie).  But at the same time it broadened my horizons.  AngularJS - very interesting course,Computer Science,Beginner,4.56,524,Coursera,https://www.coursera.org/learn/angular-js
animal-welfare,Animal Welfare,"Cool A very interesting course ! Serious and much developed work.  Nice special interactive lessons (though speaking english is necessary to understand them), important to get deeper information about...",Computer Science,Beginner,4.7,143,Coursera,https://www.coursera.org/learn/animal-welfare
anticipate,Jeremy Ghez,This is an excellent course - really stimulating and very practical as well.  Jeremy Ghez teaching is highly engaging and thought provoking.  Well worth the time and effort! All in all this was a very...,Data Science,Intermediate,4.33,3,Coursera,https://www.coursera.org/learn/anticipate
antimicrobial-resistance,Antimicrobial Resistance,i get perfect information about antimicrobial resistance . .,Computer Science,Beginner,4.48,61,Coursera,https://www.coursera.org/learn/antimicrobial-resistance
aoo,Aoo,good,Computer Science,Intermediate,5.0,1,Coursera,https://www.coursera.org/learn/aoo
ap-physics-1,Ap Physics 1,"Shame on you University of Houston SystemI did the first three lessons, which are less than average, then went on to quiz 1, after completion, a window appeared to ask me for money to get my results! ...",Computer Science,Intermediate,3.83,6,Coursera,https://www.coursera.org/learn/ap-physics-1
aplicaciones-android,Aplicaciones Android,"Muy buen curso, felicidades, aun que no puedo pasar al curso 5.  :( De los mejores cursos gratuitos que he visto hasta ahora Good learning experience.  Todo bien, solo que al final usando el mismo pro...",Computer Science,Intermediate,4.67,12,Coursera,https://www.coursera.org/learn/aplicaciones-android
aplicaciones-web,Aplicaciones Web,"Muy buen curso, pero los materiales visuales no presentaban los acentos de forma correcta.  lo recomiendo 100%, cada barrera te enseña a resolver problemas, como resultado logras dominar básicamente e...",Computer Science,Beginner,4.35,20,Coursera,https://www.coursera.org/learn/aplicaciones-web
aplicativo-para-iphone,Aplicativo Para Iphone,Muito Bom! Curso com poucos participantes comprometendo as avaliações que necessitam de pares para serem avaliadas.  Deste modo já mudei 4 vezes de sessão e sequer consigo uma nova avaliação no eu tra...,Computer Science,Beginner,4.67,79,Coursera,https://www.coursera.org/learn/aplicativo-para-iphone
applying-to-college,Applying To College,Great tool for students! Fantastic!,Computer Science,Intermediate,5.0,2,Coursera,https://www.coursera.org/learn/applying-to-college
appreciative-inquiry,Appreciative Inquiry,"I do recommend the course, for both the methodoly and content, the tips it gives, the mindset it developsgo on Ronald ! Really superb! Great PLAs, fantastic stories, very tangible but also steeped in ...",Computer Science,Advanced,4.5,14,Coursera,https://www.coursera.org/learn/appreciative-inquiry
approximation-algorithms-part-1,Approximation Algorithms Part 1,Great course! This class is very clear and easy to understand! Thank you for providing such feast for students! - I love how this course delves into a very promising advanced research topic in Computa...,Computer Science,Beginner,4.62,26,Coursera,https://www.coursera.org/learn/approximation-algorithms-part-1
approximation-algorithms-part-2,Approximation Algorithms Part 2,"Excellente course, thank you for the excellent techniques and approach that often lacks in courses on the subject. I would have loved a validation at least. I'd be very happy to attend another of your...",Computer Science,Advanced,4.57,7,Coursera,https://www.coursera.org/learn/approximation-algorithms-part-2
aprender,Excelente,"Excelente Awesome! muito foda Show Muitas técnicas interessantes e boa didática! Excelente curso, com demonstração de técnicas simples para melhorar o aprendizado e memorização.  Curso muito abrangent...",Computer Science,Beginner,4.87,413,Coursera,https://www.coursera.org/learn/aprender
aprendiendo-a-aprender,Aprendiendo A Aprender,"Espectacular! EXCELENTE!!! No es idioma español.  son subtitulos es español el idioma es el ingles Si bien no me certifiqué en el curso, la verdad me pareció bastante útil y didáctico, no solo para el...",Computer Science,Advanced,4.9,227,Coursera,https://www.coursera.org/learn/aprendiendo-a-aprender
aprendo,Excelente,Muy bueno!!! Me estoy dando cuenta de mis fallos a la hora de emplear herramientas de estudio para mi carrera y también de mi actitud para aprender y procesar lo aprendido.  Me encantó !! Muy práctico...,Computer Science,Beginner,4.84,496,Coursera,https://www.coursera.org/learn/aprendo
arabic-for-media,Arabic For Media,Excellent! أحبت المعلومات الإعلامية و اللغوية القيمة فى هذا المقرر,Computer Science,Intermediate,5.0,2,Coursera,https://www.coursera.org/learn/arabic-for-media
archaeoastronomy,This,"Excelente , la presentación y el modo como el tutor explica los temas interactuando con los videos, es novedoso y de muy facil asimilación.  Absolutely excellent! Would love to delve deeper into this ...",Computer Science,Beginner,4.44,16,Coursera,https://www.coursera.org/learn/archaeoastronomy
archoftitus,The,"A great class, a great professor First to congratulate the teacher, who impresses the class with a unique dynamism and uses tools so that history to be narrated so brilliantly, enters the body and is ...",Computer Science,Beginner,3.95,19,Coursera,https://www.coursera.org/learn/archoftitus
arctic-introduction-climate,Arctic Introduction Climate,Excellent initial overview course for people without a knowledge of the Arctic or Environmental Science.  The content was good and very instructive but the videos and graphic material could be more dy...,Computer Science,Beginner,4.04,25,Coursera,https://www.coursera.org/learn/arctic-introduction-climate
arduino,So,"Such lame quizes, I cannot pass them although I know this material in my sleep,because the english is so bad and has so many ambiguities; There are no single answers to a question, instead you need th...",Computer Science,Intermediate,4.29,7,Coursera,https://www.coursera.org/learn/arduino
arduino-aplicaciones,Arduino Aplicaciones,"muy bueno.  pra mi que no sabia nada de arduino buen curso!, enseña muchas cosas desde lo mas básico a nivel intermedio, donde con los conocimientos adquiridos se puede empezar a realizar proyectos pr...",Computer Science,Intermediate,4.35,31,Coursera,https://www.coursera.org/learn/arduino-aplicaciones
arduino-platform,Arduino Platform,good course;please make it separate from specialisation also; This course helped me much to understand the basics of C Programming.  The instructor teach subjects clearly and fluently.  He conveyed hi...,Computer Science,Beginner,4.48,341,Coursera,https://www.coursera.org/learn/arduino-platform
aristotle,Aristotle,"The professor is very great, she stated clealy and intersting about Ancient Philosophy.  I love very much.  useful! This is a great introduction to Ancient philosophy for all of those who want to obta...",Computer Science,Beginner,4.75,61,Coursera,https://www.coursera.org/learn/aristotle
